Prupe.I003300.1.p	Pav_sc0006468.1_g010.1.br
Prupe.4G171000.1.p	Pav_sc0002264.1_g260.1.mk
Prupe.4G074000.3.p	Pav_sc0001289.1_g390.1.mk
Prupe.4G228900.1.p	Pav_sc0012539.1_g030.1.br
Prupe.4G016700.1.p	Pav_sc0000824.1_g020.1.mk
Prupe.4G241800.1.p	Pav_sc0001926.1_g030.1.mk
Prupe.4G241800.2.p	Pav_sc0002270.1_g100.1.mk
Prupe.4G169000.1.p	Pav_sc0000584.1_g550.1.mk
Prupe.4G171600.1.p	Pav_sc0002264.1_g320.1.mk
Prupe.4G163100.1.p	Pav_sc0000617.1_g530.1.br
Prupe.4G130300.1.p	Pav_sc0000497.1_g220.1.mk
Prupe.4G167500.1.p	Pav_sc0002992.1_g070.1.mk
Prupe.4G071800.1.p	Pav_sc0001289.1_g100.1.mk
Prupe.4G220900.1.p	Pav_sc0000326.1_g100.1.mk
Prupe.4G147700.1.p	Pav_sc0000095.1_g880.1.mk
Prupe.4G122700.1.p	Pav_sc0000757.1_g070.1.mk
Prupe.4G109000.1.p	Pav_sc0000823.1_g660.1.mk
Prupe.4G211200.1.p	Pav_sc0000616.1_g280.1.mk
Prupe.4G155000.1.p	Pav_sc0000095.1_g1690.1.mk
Prupe.4G233900.1.p	Pav_sc0000622.1_g180.1.mk
Prupe.4G038700.1.p	Pav_sc0002009.1_g390.1.mk
Prupe.4G286400.1.p	Pav_sc0000546.1_g470.1.mk
Prupe.4G263900.1.p	Pav_sc0000024.1_g040.1.mk
Prupe.4G105300.1.p	Pav_sc0005521.1_g010.1.mk
Prupe.4G137000.1.p	Pav_sc0001583.1_g300.1.mk
Prupe.4G026300.1.p	Pav_sc0000910.1_g850.1.mk
Prupe.4G233400.1.p	Pav_sc0000220.1_g2200.1.br
Prupe.4G214800.1.p	Pav_sc0001770.1_g140.1.mk
Prupe.4G166500.1.p	Pav_sc0000617.1_g080.1.mk
Prupe.4G132600.1.p	Pav_sc0006892.1_g050.1.mk
Prupe.4G019200.1.p	Pav_sc0000910.1_g200.1.mk
Prupe.4G029400.1.p	Pav_sc0001545.1_g110.1.mk
Prupe.4G144400.2.p	Pav_sc0000095.1_g520.1.mk
Prupe.4G099400.1.p	Pav_sc0001112.1_g140.1.br
Prupe.4G253900.1.p	Pav_sc0000376.1_g740.1.mk
Prupe.4G090500.1.p	Pav_sc0012649.1_g010.1.mk
Prupe.4G027100.1.p	Pav_sc0000910.1_g910.1.mk
Prupe.4G127800.1.p	Pav_sc0000736.1_g030.1.mk
Prupe.4G129900.1.p	Pav_sc0000497.1_g210.1.mk
Prupe.4G289100.1.p	Pav_sc0001270.1_g200.1.mk
Prupe.4G170700.1.p	Pav_sc0002264.1_g210.1.mk
Prupe.4G030600.1.p	Pav_sc0000333.1_g220.1.mk
Prupe.4G148700.3.p	Pav_sc0000095.1_g970.1.mk
Prupe.4G137700.1.p	Pav_sc0001583.1_g380.1.mk
Prupe.4G196600.1.p	Pav_sc0000269.1_g380.1.mk
Prupe.4G036400.2.p	Pav_sc0000598.1_g470.1.mk
Prupe.4G231600.1.p	Pav_sc0000622.1_g550.1.mk
Prupe.4G189900.1.p	Pav_sc0002607.1_g150.1.mk
Prupe.4G163700.1.p	Pav_sc0000617.1_g480.1.br
Prupe.4G139400.1.p	Pav_sc0000791.1_g050.1.mk
Prupe.4G036700.1.p	Pav_sc0000598.1_g510.1.mk
Prupe.4G091200.6.p	Pav_sc0000637.1_g090.1.mk
Prupe.4G258500.1.p	Pav_sc0000830.1_g380.1.mk
Prupe.4G119100.2.p	Pav_sc0000419.1_g020.1.br
Prupe.4G256900.1.p	Pav_sc0002553.1_g100.1.mk
Prupe.4G282400.3.p	Pav_sc0001709.1_g210.1.mk
Prupe.4G101500.1.p	Pav_sc0001110.1_g300.1.mk
Prupe.4G241200.1.p	Pav_sc0005093.1_g050.1.br
Prupe.4G187500.1.p	Pav_sc0000029.1_g130.1.mk
Prupe.4G150100.1.p	Pav_sc0000095.1_g1080.1.mk
Prupe.4G140200.1.p	Pav_sc0000791.1_g150.1.mk
Prupe.4G088400.1.p	Pav_sc0000481.1_g230.1.mk
Prupe.4G246900.1.p	Pav_sc0003696.1_g200.1.br
Prupe.4G155600.1.p	Pav_sc0000095.1_g1740.1.mk
Prupe.4G209200.4.p	Pav_sc0000616.1_g060.1.mk
Prupe.4G260300.1.p	Pav_sc0001991.1_g040.1.mk
Prupe.4G248000.1.p	Pav_sc0000465.1_g540.1.mk
Prupe.4G175700.1.p	Pav_sc0000975.1_g030.1.br
Prupe.4G012700.1.p	Pav_sc0000093.1_g460.1.mk
Prupe.4G023000.1.p	Pav_sc0000910.1_g530.1.mk
Prupe.4G044600.1.p	Pav_sc0001305.1_g380.1.br
Prupe.4G095800.1.p	Pav_sc0000729.1_g320.1.mk
Prupe.4G277400.1.p	Pav_sc0001786.1_g210.1.mk
Prupe.4G125600.1.p	Pav_sc0000736.1_g420.1.br
Prupe.4G208000.1.p	Pav_sc0000089.1_g100.1.mk
Prupe.4G084700.1.p	Pav_sc0003135.1_g230.1.mk
Prupe.4G013700.2.p	Pav_sc0001084.1_g110.1.mk
Prupe.4G066000.1.p	Pav_sc0001181.1_g670.1.br
Prupe.4G170900.1.p	Pav_sc0002264.1_g250.1.mk
Prupe.4G256500.1.p	Pav_sc0000882.1_g040.1.br
Prupe.4G216700.1.p	Pav_sc0000326.1_g600.1.mk
Prupe.4G251400.1.p	Pav_sc0000465.1_g1350.1.mk
Prupe.4G211600.1.p	Pav_sc0000616.1_g310.1.mk
Prupe.4G006400.1.p	Pav_sc0002233.1_g370.1.mk
Prupe.4G124400.1.p	Pav_sc0007253.1_g080.1.mk
Prupe.4G128500.1.p	Pav_sc0001936.1_g050.1.mk
Prupe.4G075200.1.p	Pav_sc0001289.1_g480.1.mk
Prupe.4G238800.1.p	Pav_sc0001134.1_g230.1.mk
Prupe.4G046700.1.p	Pav_sc0001305.1_g560.1.mk
Prupe.4G154000.1.p	Pav_sc0000095.1_g1610.1.br
Prupe.4G217500.1.p	Pav_sc0000326.1_g480.1.mk
Prupe.4G021400.1.p	Pav_sc0000910.1_g410.1.mk
Prupe.4G113300.1.p	Pav_sc0001953.1_g070.1.mk
Prupe.4G256000.1.p	Pav_sc0000376.1_g140.1.mk
Prupe.4G129200.1.p	Pav_sc0000497.1_g150.1.mk
Prupe.4G114100.1.p	Pav_sc0011077.1_g020.1.br
Prupe.4G271600.2.p	Pav_sc0000787.1_g130.1.mk
Prupe.4G009900.1.p	Pav_sc0002233.1_g060.1.mk
Prupe.4G030000.3.p	Pav_sc0001545.1_g050.1.mk
Prupe.4G275200.2.p	Pav_sc0000031.1_g060.1.mk
Prupe.4G049500.3.p	Pav_sc0001305.1_g810.1.mk
Prupe.4G201900.1.p	Pav_sc0000398.1_g080.1.mk
Prupe.4G147200.1.p	Pav_sc0000095.1_g770.1.mk
Prupe.4G218000.1.p	Pav_sc0000326.1_g410.1.mk
Prupe.4G024500.1.p	Pav_sc0000910.1_g690.1.mk
Prupe.4G026700.1.p	Pav_sc0000910.1_g880.1.mk
Prupe.4G079100.1.p	Pav_sc0003135.1_g820.1.mk
Prupe.4G067700.4.p	Pav_sc0000506.1_g220.1.mk
Prupe.4G030700.1.p	Pav_sc0000333.1_g210.1.mk
Prupe.4G026900.1.p	Pav_sc0000910.1_g890.1.mk
Prupe.4G231300.1.p	Pav_sc0000622.1_g570.1.mk
Prupe.4G179800.1.p	Pav_sc0005984.1_g050.1.mk
Prupe.4G191500.1.p	Pav_sc0001846.1_g040.1.mk
Prupe.4G074600.2.p	Pav_sc0001289.1_g430.1.mk
Prupe.4G037400.1.p	Pav_sc0000598.1_g680.1.mk
Prupe.4G239500.1.p	Pav_sc0002974.1_g130.1.mk
Prupe.4G100700.1.p	Pav_sc0001110.1_g390.1.br
Prupe.4G238300.1.p	Pav_sc0001355.1_g060.1.mk
Prupe.4G054100.1.p	Pav_sc0001900.1_g180.1.mk
Prupe.4G198100.1.p	Pav_sc0000898.1_g050.1.mk
Prupe.4G234800.1.p	Pav_sc0000622.1_g110.1.mk
Prupe.4G062100.1.p	Pav_sc0000037.1_g470.1.mk
Prupe.4G137200.1.p	Pav_sc0001583.1_g330.1.mk
Prupe.4G156900.1.p	Pav_sc0000352.1_g040.1.mk
Prupe.4G053600.1.p	Pav_sc0001900.1_g130.1.br
Prupe.4G059000.1.p	Pav_sc0000037.1_g140.1.mk
Prupe.4G081000.1.p	Pav_sc0003135.1_g560.1.mk
Prupe.4G188700.1.p	Pav_sc0002607.1_g030.1.mk
Prupe.4G005900.1.p	Pav_sc0002233.1_g420.1.mk
Prupe.4G219900.1.p	Pav_sc0000326.1_g200.1.mk
Prupe.4G154300.1.p	Pav_sc0000095.1_g1640.1.mk
Prupe.4G107000.1.p	Pav_sc0000823.1_g420.1.mk
Prupe.4G102700.1.p	Pav_sc0001110.1_g200.1.mk
Prupe.4G097700.1.p	Pav_sc0000729.1_g090.1.br
Prupe.4G087600.1.p	Pav_sc0000481.1_g320.1.mk
Prupe.4G282100.1.p	Pav_sc0000888.1_g070.1.mk
Prupe.4G189600.2.p	Pav_sc0002607.1_g110.1.mk
Prupe.4G069900.1.p	Pav_sc0000112.1_g310.1.br
Prupe.4G270900.1.p	Pav_sc0001475.1_g240.1.br
Prupe.4G018500.3.p	Pav_sc0000910.1_g120.1.mk
Prupe.4G223000.1.p	Pav_sc0000241.1_g100.1.br
Prupe.4G000400.1.p	Pav_sc0001529.1_g400.1.mk
Prupe.4G250600.1.p	Pav_sc0000465.1_g1310.1.mk
Prupe.4G061700.1.p	Pav_sc0000037.1_g420.1.mk
Prupe.4G207900.1.p	Pav_sc0000089.1_g110.1.mk
Prupe.4G250200.2.p	Pav_sc0000465.1_g1140.1.mk
Prupe.4G156600.1.p	Pav_sc0000352.1_g070.1.mk
Prupe.4G209700.1.p	Pav_sc0000616.1_g130.1.mk
Prupe.4G015000.1.p	Pav_sc0000824.1_g170.1.mk
Prupe.4G061200.1.p	Pav_sc0000416.1_g160.1.br
Prupe.4G156700.1.p	Pav_sc0000352.1_g060.1.mk
Prupe.4G144100.1.p	Pav_sc0000095.1_g490.1.mk
Prupe.4G044300.1.p	Pav_sc0001305.1_g350.1.br
Prupe.4G154500.2.p	Pav_sc0000095.1_g1660.1.mk
Prupe.4G264400.1.p	Pav_sc0001467.1_g030.1.mk
Prupe.4G033000.1.p	Pav_sc0000598.1_g020.1.br
Prupe.4G051800.2.p	Pav_sc0001900.1_g010.1.mk
Prupe.4G193300.1.p	Pav_sc0000124.1_g090.1.br
Prupe.4G214700.2.p	Pav_sc0001770.1_g150.1.mk
Prupe.4G254800.1.p	Pav_sc0000376.1_g620.1.mk
Prupe.4G276300.1.p	Pav_sc0005787.1_g090.1.mk
Prupe.4G140700.1.p	Pav_sc0000791.1_g210.1.br
Prupe.4G281000.1.p	Pav_sc0003241.1_g220.1.br
Prupe.4G001100.1.p	Pav_sc0001529.1_g350.1.mk
Prupe.4G065400.1.p	Pav_sc0000506.1_g470.1.mk
Prupe.4G269400.1.p	Pav_sc0000492.1_g290.1.mk
Prupe.4G223400.1.p	Pav_sc0000241.1_g060.1.mk
Prupe.4G105700.1.p	Pav_co4022861.1_g010.1.mk
Prupe.4G172700.1.p	Pav_sc0003492.1_g350.1.mk
Prupe.4G245600.1.p	Pav_sc0000052.1_g390.1.mk
Prupe.4G004100.1.p	Pav_sc0001529.1_g080.1.mk
Prupe.4G131100.1.p	Pav_sc0008183.1_g020.1.mk
Prupe.4G126000.1.p	Pav_sc0000736.1_g360.1.mk
Prupe.4G165600.1.p	Pav_sc0000617.1_g170.1.mk
Prupe.4G122900.1.p	Pav_sc0001003.1_g010.1.br
Prupe.4G124600.3.p	Pav_sc0007253.1_g090.1.mk
Prupe.4G024400.1.p	Pav_sc0000910.1_g670.1.mk
Prupe.4G053100.1.p	Pav_sc0001900.1_g090.1.mk
Prupe.4G258400.2.p	Pav_sc0000830.1_g390.1.mk
Prupe.4G068200.2.p	Pav_sc0000506.1_g170.1.mk
Prupe.4G212400.1.p	Pav_sc0000616.1_g400.1.mk
Prupe.4G182900.1.p	Pav_sc0002828.1_g450.1.mk
Prupe.4G210000.1.p	Pav_sc0000616.1_g160.1.mk
Prupe.4G183900.1.p	Pav_sc0002828.1_g370.1.mk
Prupe.4G268600.1.p	Pav_sc0002319.1_g150.1.br
Prupe.4G257300.1.p	Pav_sc0000830.1_g420.1.mk
Prupe.4G271700.1.p	Pav_sc0000216.1_g020.1.mk
Prupe.4G089000.1.p	Pav_sc0000481.1_g180.1.mk
Prupe.4G191700.1.p	Pav_sc0001846.1_g060.1.br
Prupe.4G269700.2.p	Pav_sc0001288.1_g040.1.mk
Prupe.4G075300.5.p	Pav_sc0001289.1_g490.1.mk
Prupe.4G245900.1.p	Pav_sc0000052.1_g340.1.mk
Prupe.4G165400.1.p	Pav_sc0000617.1_g190.1.mk
Prupe.4G285700.1.p	Pav_sc0000546.1_g210.1.mk
Prupe.4G040800.1.p	Pav_sc0002009.1_g220.1.mk
Prupe.4G138100.1.p	Pav_sc0001583.1_g410.1.mk
Prupe.4G085800.1.p	Pav_sc0003135.1_g110.1.mk
Prupe.4G048300.2.p	Pav_sc0001305.1_g700.1.mk
Prupe.4G117300.2.p	Pav_sc0004151.1_g040.1.mk
Prupe.4G109200.1.p	Pav_sc0000823.1_g680.1.mk
Prupe.4G105900.1.p	Pav_sc0000823.1_g210.1.mk
Prupe.4G021000.1.p	Pav_sc0000910.1_g370.1.mk
Prupe.4G044400.1.p	Pav_sc0001305.1_g360.1.mk
Prupe.4G156500.5.p	Pav_sc0000352.1_g080.1.mk
Prupe.4G254100.42.p	Pav_sc0000376.1_g710.1.mk
Prupe.4G273300.1.p	Pav_sc0000216.1_g630.1.mk
Prupe.4G035600.1.p	Pav_sc0000598.1_g380.1.mk
Prupe.4G135900.1.p	Pav_sc0001583.1_g140.1.mk
Prupe.4G150400.4.p	Pav_sc0000095.1_g1130.1.mk
Prupe.4G038100.7.p	Pav_sc0000598.1_g730.1.mk
Prupe.4G263500.1.p	Pav_sc0000024.1_g130.1.mk
Prupe.4G084100.1.p	Pav_sc0003135.1_g300.1.mk
Prupe.4G200200.2.p	Pav_sc0000398.1_g400.1.mk
Prupe.4G221700.1.p	Pav_sc0000241.1_g250.1.mk
Prupe.4G029200.1.p	Pav_sc0001545.1_g140.1.mk
Prupe.4G210500.1.p	Pav_sc0000616.1_g210.1.mk
Prupe.4G018600.1.p	Pav_sc0000910.1_g130.1.mk
Prupe.4G017600.1.p	Pav_sc0000910.1_g050.1.mk
Prupe.4G216500.4.p	Pav_sc0001211.1_g030.1.mk
Prupe.4G203800.1.p	Pav_sc0003138.1_g110.1.br
Prupe.4G045100.1.p	Pav_sc0001305.1_g430.1.br
Prupe.4G191100.2.p	Pav_sc0001846.1_g010.1.br
Prupe.4G208400.1.p	Pav_sc0000089.1_g030.1.mk
Prupe.4G103600.1.p	Pav_sc0001110.1_g130.1.mk
Prupe.4G009800.1.p	Pav_sc0002233.1_g070.1.mk
Prupe.4G230400.1.p	Pav_sc0000622.1_g780.1.br
Prupe.4G049100.5.p	Pav_sc0001305.1_g780.1.mk
Prupe.4G287500.1.p	Pav_sc0011990.1_g010.1.br
Prupe.4G062400.5.p	Pav_sc0000037.1_g500.1.mk
Prupe.4G035400.1.p	Pav_sc0000598.1_g360.1.mk
Prupe.4G062600.4.p	Pav_sc0000037.1_g520.1.mk
Prupe.4G148100.9.p	Pav_sc0000095.1_g900.1.mk
Prupe.4G115200.1.p	Pav_sc0001342.1_g090.1.mk
Prupe.4G192200.1.p	Pav_sc0000124.1_g190.1.mk
Prupe.4G010000.2.p	Pav_sc0002233.1_g040.1.mk
Prupe.4G267200.1.p	Pav_sc0001510.1_g020.1.mk
Prupe.4G113200.2.p	Pav_sc0001953.1_g060.1.mk
Prupe.4G075100.1.p	Pav_sc0001289.1_g470.1.mk
Prupe.4G100400.1.p	Pav_sc0001112.1_g030.1.mk
Prupe.4G006200.1.p	Pav_sc0002233.1_g390.1.mk
Prupe.4G279800.1.p	Pav_sc0001825.1_g230.1.mk
Prupe.4G255000.1.p	Pav_sc0000376.1_g550.1.mk
Prupe.4G212100.4.p	Pav_sc0000616.1_g360.1.mk
Prupe.4G060600.1.p	Pav_sc0000037.1_g340.1.mk
Prupe.4G045200.1.p	Pav_sc0001305.1_g440.1.mk
Prupe.4G207300.1.p	Pav_co4001257.1_g010.1.br
Prupe.4G184000.1.p	Pav_sc0002828.1_g360.1.mk
Prupe.4G184000.10.p	Pav_sc0002828.1_g340.1.mk
Prupe.4G189700.2.p	Pav_sc0002607.1_g120.1.mk
Prupe.4G281700.2.p	Pav_sc0001466.1_g050.1.mk
Prupe.4G202100.1.p	Pav_sc0000398.1_g060.1.mk
Prupe.4G028900.1.p	Pav_sc0001545.1_g170.1.mk
Prupe.4G034500.4.p	Pav_sc0000598.1_g260.1.mk
Prupe.4G007300.2.p	Pav_sc0002233.1_g280.1.mk
Prupe.4G062700.1.p	Pav_sc0000037.1_g530.1.mk
Prupe.4G181200.2.p	Pav_sc0002828.1_g640.1.mk
Prupe.4G076400.1.p	Pav_sc0001289.1_g570.1.mk
Prupe.4G057500.1.p	Pav_sc0000037.1_g050.1.mk
Prupe.4G214200.1.p	Pav_sc0000296.1_g120.1.mk
Prupe.4G280400.2.p	Pav_sc0001825.1_g170.1.mk
Prupe.4G169800.1.p	Pav_sc0002264.1_g050.1.br
Prupe.4G120200.1.p	Pav_sc0001003.1_g250.1.mk
Prupe.4G130600.1.p	Pav_sc0000497.1_g240.1.mk
Prupe.4G278200.1.p	Pav_sc0000873.1_g170.1.mk
Prupe.4G172800.2.p	Pav_sc0003492.1_g340.1.br
Prupe.4G254600.1.p	Pav_sc0000376.1_g640.1.mk
Prupe.4G281900.4.p	Pav_sc0000888.1_g080.1.mk
Prupe.4G018800.1.p	Pav_sc0000910.1_g150.1.mk
Prupe.4G118000.1.p	Pav_sc0001465.1_g130.1.mk
Prupe.4G021600.1.p	Pav_sc0000910.1_g430.1.mk
Prupe.4G194500.1.p	Pav_sc0000441.1_g100.1.br
Prupe.4G255700.2.p	Pav_sc0000376.1_g300.1.mk
Prupe.4G089200.3.p	Pav_sc0000481.1_g160.1.mk
Prupe.4G072500.1.p	Pav_sc0001289.1_g230.1.mk
Prupe.4G006000.4.p	Pav_sc0002233.1_g410.1.mk
Prupe.4G225800.1.p	Pav_sc0000034.1_g510.1.mk
Prupe.4G001500.1.p	Pav_sc0001529.1_g320.1.mk
Prupe.4G038600.1.p	Pav_sc0002009.1_g400.1.mk
Prupe.4G124300.1.p	Pav_sc0007253.1_g060.1.mk
Prupe.4G016900.1.p	Pav_sc0000910.1_g010.1.br
Prupe.4G089500.1.p	Pav_sc0000481.1_g140.1.mk
Prupe.4G260700.1.p	Pav_sc0002776.1_g330.1.mk
Prupe.4G242100.1.p	Pav_sc0000052.1_g930.1.mk
Prupe.4G088000.2.p	Pav_sc0000481.1_g260.1.mk
Prupe.4G260100.1.p	Pav_sc0003204.1_g010.1.mk
Prupe.4G139600.7.p	Pav_sc0000791.1_g100.1.mk
Prupe.4G061100.1.p	Pav_sc0000037.1_g380.1.mk
Prupe.4G019500.2.p	Pav_sc0000910.1_g230.1.mk
Prupe.4G036000.1.p	Pav_sc0000598.1_g420.1.mk
Prupe.4G147900.1.p	Pav_sc0000095.1_g890.1.mk
Prupe.4G153300.1.p	Pav_sc0000095.1_g1540.1.mk
Prupe.4G039200.1.p	Pav_sc0002009.1_g360.1.mk
Prupe.4G255900.1.p	Pav_sc0000376.1_g150.1.mk
Prupe.4G139500.1.p	Pav_sc0000791.1_g090.1.mk
Prupe.4G033900.1.p	Pav_sc0000598.1_g180.1.mk
Prupe.4G164800.1.p	Pav_sc0000617.1_g420.1.mk
Prupe.4G030900.1.p	Pav_sc0000333.1_g190.1.mk
Prupe.4G222500.1.p	Pav_sc0000241.1_g150.1.mk
Prupe.4G146400.1.p	Pav_sc0000095.1_g730.1.mk
Prupe.4G029700.1.p	Pav_sc0001545.1_g080.1.mk
Prupe.4G090000.1.p	Pav_sc0000481.1_g090.1.mk
Prupe.4G020000.3.p	Pav_sc0000910.1_g290.1.mk
Prupe.4G000900.1.p	Pav_sc0000219.1_g010.1.mk
Prupe.4G120000.1.p	Pav_sc0001003.1_g270.1.mk
Prupe.4G013900.2.p	Pav_sc0001084.1_g090.1.mk
Prupe.4G234600.5.p	Pav_sc0000622.1_g140.1.mk
Prupe.4G147500.1.p	Pav_sc0000095.1_g860.1.mk
Prupe.4G250500.1.p	Pav_sc0000465.1_g1300.1.mk
Prupe.4G150800.1.p	Pav_sc0001510.1_g040.1.br
Prupe.4G066300.1.p	Pav_sc0000506.1_g370.1.mk
Prupe.4G156800.1.p	Pav_sc0000352.1_g050.1.mk
Prupe.4G142400.1.p	Pav_sc0000095.1_g300.1.br
Prupe.4G083700.1.p	Pav_sc0003135.1_g350.1.mk
Prupe.4G170200.2.p	Pav_sc0002636.1_g040.1.mk
Prupe.4G196700.1.p	Pav_sc0000363.1_g810.1.br
Prupe.4G251700.1.p	Pav_sc0000465.1_g1380.1.mk
Prupe.4G164900.1.p	Pav_sc0000617.1_g350.1.br
Prupe.4G091400.3.p	Pav_sc0000637.1_g070.1.mk
Prupe.4G221200.1.p	Pav_sc0000326.1_g070.1.mk
Prupe.4G183500.3.p	Pav_sc0002828.1_g400.1.mk
Prupe.4G067000.1.p	Pav_sc0000506.1_g280.1.mk
Prupe.4G229700.1.p	Pav_sc0000622.1_g920.1.mk
Prupe.4G060900.1.p	Pav_sc0000037.1_g360.1.mk
Prupe.4G041100.1.p	Pav_sc0002009.1_g190.1.mk
Prupe.4G004200.1.p	Pav_sc0001529.1_g070.1.br
Prupe.4G132000.1.p	Pav_sc0003043.1_g120.1.mk
Prupe.4G224700.1.p	Pav_sc0001293.1_g240.1.mk
Prupe.4G223900.1.p	Pav_sc0001293.1_g090.1.br
Prupe.4G090100.1.p	Pav_sc0000481.1_g080.1.mk
Prupe.4G249600.2.p	Pav_sc0000465.1_g1050.1.mk
Prupe.4G190300.1.p	Pav_sc0002607.1_g190.1.mk
Prupe.4G171200.1.p	Pav_sc0002264.1_g290.1.mk
Prupe.4G098400.1.p	Pav_sc0000729.1_g010.1.br
Prupe.4G134900.1.p	Pav_sc0000672.1_g020.1.mk
Prupe.4G263100.1.p	Pav_sc0000024.1_g270.1.mk
Prupe.4G155800.2.p	Pav_sc0000352.1_g240.1.mk
Prupe.4G186000.1.p	Pav_sc0002828.1_g050.1.mk
Prupe.4G113500.1.p	Pav_co4043911.1_g010.1.mk
Prupe.4G083800.1.p	Pav_sc0003135.1_g340.1.mk
Prupe.4G041600.1.p	Pav_sc0002009.1_g140.1.mk
Prupe.4G211000.1.p	Pav_sc0000616.1_g240.1.mk
Prupe.4G126600.1.p	Pav_sc0000736.1_g210.1.mk
Prupe.4G126600.2.p	Pav_sc0001545.1_g060.1.mk
Prupe.4G001000.3.p	Pav_sc0001529.1_g360.1.mk
Prupe.4G120300.1.p	Pav_sc0001003.1_g210.1.mk
Prupe.4G186700.1.p	Pav_sc0000257.1_g670.1.br
Prupe.4G062900.1.p	Pav_sc0000037.1_g560.1.mk
Prupe.4G119300.1.p	Pav_sc0001003.1_g360.1.mk
Prupe.4G229000.1.p	Pav_sc0000108.1_g630.1.mk
Prupe.4G035700.1.p	Pav_sc0000598.1_g390.1.mk
Prupe.4G012500.1.p	Pav_sc0001084.1_g230.1.mk
Prupe.4G141000.1.p	Pav_sc0003945.1_g020.1.mk
Prupe.4G155400.1.p	Pav_sc0000095.1_g1720.1.mk
Prupe.4G192300.1.p	Pav_sc0000124.1_g180.1.mk
Prupe.4G174600.1.p	Pav_sc0006204.1_g020.1.br
Prupe.4G063000.1.p	Pav_sc0000037.1_g570.1.mk
Prupe.4G222400.1.p	Pav_sc0000562.1_g040.1.br
Prupe.4G220800.1.p	Pav_sc0000326.1_g110.1.mk
Prupe.4G039700.1.p	Pav_sc0002009.1_g310.1.mk
Prupe.4G165300.2.p	Pav_sc0000617.1_g200.1.mk
Prupe.4G112600.1.p	Pav_sc0000086.1_g030.1.mk
Prupe.4G222000.1.p	Pav_sc0000241.1_g230.1.mk
Prupe.4G143200.1.p	Pav_sc0000095.1_g400.1.br
Prupe.4G131600.1.p	Pav_sc0000514.1_g160.1.br
Prupe.4G034200.1.p	Pav_co4035063.1_g010.1.mk
Prupe.4G231400.1.p	Pav_sc0010469.1_g010.1.mk
Prupe.4G225000.1.p	Pav_sc0001293.1_g280.1.mk
Prupe.4G249900.2.p	Pav_sc0000465.1_g1080.1.mk
Prupe.4G055200.1.p	Pav_sc0001900.1_g260.1.mk
Prupe.4G197400.1.p	Pav_sc0000269.1_g490.1.mk
Prupe.4G225700.1.p	Pav_sc0001293.1_g360.1.br
Prupe.4G011800.1.p	Pav_sc0001084.1_g300.1.mk
Prupe.4G250000.1.p	Pav_sc0000465.1_g1090.1.mk
Prupe.4G117100.2.p	Pav_sc0004151.1_g060.1.mk
Prupe.4G157800.1.p	Pav_sc0001157.1_g030.1.mk
Prupe.4G066200.1.p	Pav_sc0000506.1_g390.1.mk
Prupe.4G069500.1.p	Pav_sc0001093.1_g110.1.br
Prupe.4G160700.1.p	Pav_sc0000584.1_g350.1.mk
Prupe.4G058100.1.p	Pav_sc0000037.1_g110.1.mk
Prupe.4G171300.1.p	Pav_sc0002264.1_g300.1.mk
Prupe.4G003200.1.p	Pav_sc0001529.1_g170.1.mk
Prupe.4G130400.1.p	Pav_sc0000497.1_g230.1.mk
Prupe.4G033800.1.p	Pav_sc0000598.1_g170.1.mk
Prupe.4G167900.1.p	Pav_sc0001163.1_g140.1.mk
Prupe.4G244300.1.p	Pav_sc0000052.1_g660.1.mk
Prupe.4G212500.1.p	Pav_sc0000616.1_g410.1.mk
Prupe.4G050100.1.p	Pav_sc0001305.1_g860.1.mk
Prupe.4G233000.1.p	Pav_sc0000622.1_g450.1.mk
Prupe.4G209500.1.p	Pav_sc0000616.1_g090.1.mk
Prupe.4G228200.1.p	Pav_sc0000034.1_g070.1.mk
Prupe.4G015700.1.p	Pav_sc0000824.1_g110.1.mk
Prupe.4G120600.1.p	Pav_sc0001003.1_g180.1.mk
Prupe.4G115000.1.p	Pav_sc0001342.1_g130.1.mk
Prupe.4G147600.1.p	Pav_sc0000095.1_g870.1.mk
Prupe.4G267700.1.p	Pav_sc0001270.1_g310.1.mk
Prupe.4G205000.1.p	Pav_sc0001756.1_g050.1.mk
Prupe.4G196400.1.p	Pav_sc0000269.1_g360.1.mk
Prupe.4G031000.2.p	Pav_sc0000333.1_g180.1.mk
Prupe.4G129400.1.p	Pav_sc0000497.1_g170.1.mk
Prupe.4G014600.1.p	Pav_sc0001084.1_g010.1.mk
Prupe.4G273600.1.p	Pav_sc0000216.1_g1080.1.mk
Prupe.4G136200.1.p	Pav_sc0001583.1_g200.1.mk
Prupe.4G153400.1.p	Pav_sc0000095.1_g1550.1.mk
Prupe.4G233200.1.p	Pav_sc0001467.1_g200.1.br
Prupe.4G056400.3.p	Pav_sc0011838.1_g020.1.mk
Prupe.4G011100.1.p	Pav_sc0001084.1_g360.1.mk
Prupe.4G105500.1.p	Pav_sc0000823.1_g150.1.mk
Prupe.4G187300.1.p	Pav_sc0000029.1_g110.1.mk
Prupe.4G162900.1.p	Pav_sc0000617.1_g550.1.br
Prupe.4G028700.1.p	Pav_sc0000418.1_g360.1.br
Prupe.4G254200.1.p	Pav_sc0000376.1_g690.1.mk
Prupe.4G220500.3.p	Pav_sc0000326.1_g140.1.mk
Prupe.4G176700.4.p	Pav_sc0000975.1_g160.1.mk
